number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
21	153	Derrick Alston	Houston, TX	G	80	derrick-alston-2			FR
30	178	Paris Austin	Oakland, CA	G	71	paris-austin-1	11.2 Pts, 3.1 Reb, 3.0 Ast	Bishop O'Dowd HS	SO
	177	Marcus Dickinson	Norman, OK	G	74	marcus-dickinson-1	3.5 Pts, 1.2 Reb, 0.6 Ast		FR
	245	Nick Duncan	Pocatello, ID	F	80	nick-duncan-1	10.7 Pts, 3.3 Reb, 1.6 Ast	St. Augustine's College	SR
	215	Matt Grooms		F	76	matt-grooms-1	0.0 Pts, 0.3 Reb, 0.0 Ast		JR
11	232	Zach Haney	Humble, TX	F	83	zach-haney-1	5.6 Pts, 3.9 Reb, 0.2 Ast	Atascocita HS	SO
5	190	Malek Harwell	Pocatello, ID	G	76	malek-harwell-1	1.3 Pts, 1.0 Reb, 0.0 Ast	Century HS	FR
34	189	Alex Hobbs	La Porte, TX	G	76	alex-hobbs-1	1.7 Pts, 1.2 Reb, 0.8 Ast		FR
15	190	Chandler Hutchison	Mission Viejo, CA	G	79	chandler-hutchison-1	18.3 Pts, 8.9 Reb, 2.1 Ast	Mission Viejo HS	JR
3	193	Justinian Jessup	Longmont, CO	G	78	justinian-jessup-1	9.1 Pts, 2.9 Reb, 1.6 Ast		FR
10	257	Robin Jorch	Berlin, Germany	C	82	robin-jorch-1	3.7 Pts, 2.8 Reb, 0.1 Ast	International Berlin Basketball Academy	SO
23	183	Cameron Oluyitan	Houston, TX	G	78	cameron-oluyitan-1	1.3 Pts, 2.0 Reb, 0.3 Ast		SO
55	200	James Reid	Bend, OR	G	75	james-reid-1	7.9 Pts, 2.3 Reb, 1.6 Ast	Mountain View	SR
33	238	David Wacker	Converse, TX	F	82	david-wacker-1	3.9 Pts, 4.2 Reb, 0.5 Ast	Judson HS	SO
