number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
32	220	Justin Alston	Washington, DC	F	80	justin-alston-1	11.0 Pts, 6.1 Reb, 0.5 Ast	Archbishop Carroll HS	SR
23	210	Destin Barnes	Chicago, IL	G	78	destin-barnes-1	5.5 Pts, 2.0 Reb, 1.0 Ast		FR
20	170	Dylan Brossman	West Covina, CA	G	69	dylan-brossman-1	1.8 Pts, 0.3 Reb, 0.8 Ast	Chino Hills HS	SR
24	180	Kamali Chambers	Golden Valley, MN	G	71	kamali-chambers-1	3.7 Pts, 0.3 Reb, 0.1 Ast		SO
3	190	Eric Fanning	Trenton, NJ	G	77	eric-fanning-1	12.4 Pts, 5.7 Reb, 2.1 Ast	Perkiomen School (PA)	SR
25	165	Kyle Foreman	Clyde Hill, WA	G	73	kyle-foreman-1	6.0 Pts, 2.9 Reb, 4.9 Ast		SO
13	180	Will Goff	Scottsdale, AZ	G	75	will-goff-1	3.8 Pts, 1.5 Reb, 0.8 Ast	Desert Mountain HS	JR
41	230	Dylan Haines	Liverpool, NY	F	84	dylan-haines-1	2.1 Pts, 2.4 Reb, 0.4 Ast	St. Thomas More HS	SR
21	190	Cedric Hankerson	Miami, FL	G	77	cedric-hankerson-1	11.4 Pts, 2.3 Reb, 1.1 Ast	Coral Reef HS	JR
1	200	Nick Havener	Sarasota, FL	F	80	nick-havener-1	5.6 Pts, 5.4 Reb, 1.3 Ast	Riverview HS	JR
34	205	Brandon Johnson	Mount Vernon, NY	G	76	brandon-johnson-5	1.8 Pts, 1.0 Reb, 0.0 Ast	Loomis Chaffee	SO
	180	Eric Johnson	Durham, NC	G	74	eric-johnson-4	2.5 Pts, 1.3 Reb, 2.1 Ast	Carlisle HS	JR
51	235	Max Mahoney	Basking Ridge, NJ	F	80	max-mahoney-1	4.9 Pts, 3.9 Reb, 0.6 Ast		FR
5	210	Blaise Mbargorba	Garoua, Cameroon	C	83	blaise-mbargorba-1	2.3 Pts, 1.5 Reb, 0.0 Ast	The Peddie School	SR
15	175	Cheddi Mosely	Jersey City, NJ	G	75	cheddi-mosley-1	9.2 Pts, 2.1 Reb, 1.5 Ast	St. Anthony's HS	JR
2	215	Tyler Scanlon	Chantilly, VA	F	79	tyler-scanlon-1	7.5 Pts, 3.6 Reb, 1.4 Ast		FR
