number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
13	235	J.T. Adenrele	Roseville, CA	F	79	john-adenrele-1	5.9 Pts, 5.3 Reb, 0.5 Ast	Oakmont HS	SR
	210	Georgi Funtarov	Sofia, Bulgaria	F	80	georgi-funtarov-1	0.8 Pts, 1.3 Reb, 0.3 Ast	Vermont Academy	
12	214	Georgi Funtarov	Sofia, Bulgaria	F	80	funtarov-georgi-1	4.0 Pts, 2.0 Reb, 0.0 Ast		SR
44	220	Garrison Goode	River Hills, WI	F	79	garrison-goode-1	3.8 Pts, 4.8 Reb, 0.9 Ast	Dominican HS	SO
2	180	Darius Graham	Sacramento, CA	G	70	darius-graham-1	7.4 Pts, 1.6 Reb, 3.6 Ast	Sacramento HS	SR
24	230	Mikey Henn	Bellevue, WA	F	80	mikey-henn-1	6.1 Pts, 2.3 Reb, 1.0 Ast		FR
4	150	Arell Hennings	Seattle, WA	G	68	arell-hennings-1	2.5 Pts, 0.8 Reb, 1.2 Ast		JR
40	215	Peter Hewitt	Mountain View, CA	F	81	peter-hewitt-1			FR
25	225	A.J. John	Santa Rosa, CA	F	80	aj-john-1		Maria Carrillo HS	JR
	195	Brynton Lemar	San Diego, CA	G	76	brynton-lemar-1	13.5 Pts, 3.2 Reb, 3.1 Ast	St. Augustine HS	SR
	216	Chima Moneke		F	78	chima-moneke-1	15.1 Pts, 8.2 Reb, 0.7 Ast		JR
22	173	Joe Mooney	Wauconda, IL	G	75	joe-mooney-1	2.3 Pts, 0.7 Reb, 0.6 Ast	Notre Dame College Prep HS	FR
31	190	Michael Onyebalu	Inglewood, CA	G	75	michael-onyebalu-1	1.4 Pts, 0.5 Reb, 0.0 Ast	Warren	JR
23	205	Rogers Printup	Orange, CA	G	76	rogers-printup-1		Orange Lutheran HS	SO
5	183	Siler Schneider	Lansing, KS	G	75	siler-schneider-1	10.2 Pts, 3.1 Reb, 2.4 Ast	Lansing HS	SO
1	203	Lawrence White	Burbank, CA	G	76	lawrence-white-1	7.2 Pts, 3.5 Reb, 2.1 Ast		SR
