number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
5	215	Jaron Blossomgame	Alpharetta, GA	F	79	jaron-blossomgame-1	17.9 Pts, 6.0 Reb, 1.7 Ast	Chattahoochee HS	SR
3	160	Lyles Davis	Charleston, SC	G	71	lyles-davis-1	0.5 Pts, 1.0 Reb, 0.5 Ast	James Island Charter HS	SO
10	200	Gabe DeVoe	Shelby, NC	G	75	gabe-devoe-1	9.5 Pts, 3.6 Reb, 2.6 Ast	Shelby HS	JR
50	240	Sidy Djitte	Dakar, Senegal	C	82	sidy-djitte-1	7.2 Pts, 8.5 Reb, 1.1 Ast	Northwood Temple Academy	SR
11	180	Isaac Fields	Pewee Valley, KY	G	73	isaac-fields-1	1.0 Pts, 0.0 Reb, 0.0 Ast		FR
15	205	Donte Grantham	Martinsburg, WV	F	80	donte-grantham-1	10.0 Pts, 5.5 Reb, 2.0 Ast	Hargrave Military Academy	JR
12	205	Avry Holmes	Salem, OR	G	74	avry-holmes-1	10.9 Pts, 2.6 Reb, 1.8 Ast	North Salem	SR
1	205	Ty Hudson	Mableton, GA	G	73	ty-hudson-1	1.4 Pts, 0.0 Reb, 0.1 Ast	Pebblebrook HS	SO
44	175	Riley McGillan	Fort Mill, SC	G	72	riley-mcgillan-1	0.5 Pts, 0.0 Reb, 0.0 Ast	Fort Mill HS	SR
4	186	Shelton Mitchell	Waxhaw, NC	G	75	shelton-mitchell-1	9.3 Pts, 2.5 Reb, 3.4 Ast	Oak Hill Academy	SO
2	180	Marcquise Reed	Landover, MD	G	75	marcquise-reed-1	10.1 Pts, 2.9 Reb, 1.8 Ast	Capital Christian	SO
	250	Legend Robertin	London, United Kingdom	C	85	legend-robertin-1	0.8 Pts, 1.4 Reb, 0.0 Ast		JR
24	210	David Skara	Zadar, Croatia	F	80	david-skara-1		Ekonomska Skola Zadar	JR
22	195	Scott Spencer	Suffolk, VA	G	78	scott-spencer-1	1.3 Pts, 0.5 Reb, 0.0 Ast		FR
14	251	Elijah Thomas	Dallas, TX	F	81	elijah-thomas-1	8.5 Pts, 2.7 Reb, 0.0 Ast	Lancaster HS	FR
