number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
3	195	Grayson Allen	Jacksonville, FL	G	76	grayson-allen-1	15.6 Pts, 4.6 Reb, 4.2 Ast	Providence	JR
53	180	Brennan Besser	Chicago, IL	G	77	brennan-besser-1	0.0 Pts, 0.0 Reb, 0.0 Ast	Latin School	SO
20	245	Marques Bolden	Desoto, TX	C	83	marques-bolden-1	2.4 Pts, 1.6 Reb, 0.1 Ast		FR
12	220	Javin DeLaurier	Shipman, VA	F	82	javin-delaurier-1	2.1 Pts, 2.9 Reb, 0.1 Ast		FR
1	240	Harry Giles	Winston-salem, NC	F	82	harry-giles-1	5.4 Pts, 5.4 Reb, 0.6 Ast		FR
15	205	Frank Jackson	Alpine, UT	G	75	frank-jackson-2	12.2 Pts, 2.2 Reb, 1.5 Ast		FR
21	215	Amile Jefferson	Philadelphia, PA	F	81	amile-jefferson-1	13.6 Pts, 10.1 Reb, 2.2 Ast	Friends Central School	SR
2	240	Chase Jeter	Las Vegas, NV	F	82	chase-jeter-1	2.9 Pts, 2.5 Reb, 0.4 Ast	Bishop Gorman HS	SO
13	210	Matt Jones	Desoto, TX	G	77	matt-jones-3	8.1 Pts, 3.0 Reb, 2.3 Ast	DeSoto HS	SR
5	180	Luke Kennard	Franklin, OH	G	77	luke-kennard-1	20.3 Pts, 5.8 Reb, 2.4 Ast	Franklin HS	SO
34	255	Sean Obi	Kaduna, Nigeria	F	81	sean-obi-1		Green Farms Academy	JR
45	195	Nick Pagliuca	Weston, MA	G	75	nick-pagliuca-1	0.0 Pts, 0.0 Reb, 0.5 Ast	Milton Academy	SR
50	190	Justin Robinson	San Antonio, TX	F	80	justin-robinson-4	0.3 Pts, 0.3 Reb, 0.0 Ast		FR
	205	Jayson Tatum	St. Louis, MO	F	80	jayson-tatum-1	17.0 Pts, 7.1 Reb, 2.4 Ast		FR
30	270	Antonio Vrankovic	Delray Beach, FL	C	85	antonio-vrankovic-1	3.6 Pts, 3.8 Reb, 0.8 Ast	Pine Crest HS	SO
	215	Jack White		F	79	jack-white-1	2.6 Pts, 1.6 Reb, 0.1 Ast		FR
