number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
2	170	Darian Anderson	Washington, DC	G	73	darin-anderson-1	18.5 Pts, 3.0 Reb, 3.1 Ast	St. John's College HS	JR
24	235	Nadi Beciri	Maywood, NJ	F	79	nadi-beciri-1	2.5 Pts, 1.8 Reb, 0.3 Ast		SO
12	195	Kaleb Bishop	Paterson, NJ	F	80	kaleb-bishop-1	4.7 Pts, 3.9 Reb, 0.7 Ast		FR
3	170	DaRon Curry	Deptford, NJ	G	72	daron-curry-1	0.7 Pts, 0.7 Reb, 0.4 Ast		SO
1	175	Darnell Edge	Saugerties, NY	G	73	darnell-edge-1	7.0 Pts, 2.6 Reb, 1.3 Ast	Saugerties HS	SO
34	245	Mike Holloway	Pittsgrove, NJ	F	79	mike-holloway-1	12.1 Pts, 4.9 Reb, 1.1 Ast	Arthur P. Schalick HS	SO
	205	Stephan Jiggetts	Forestville, MD	G	73	stephan-jiggetts-1	13.9 Pts, 2.5 Reb, 4.9 Ast	Bishop McNamara	JR
22	205	Ashton Malone-Dunson	Hillside, NJ	F	76	ashton-malone-dunson-1	0.4 Pts, 0.2 Reb, 0.0 Ast		JR
10	190	Pat McNamara	Arlington Heights, IL	G	77	pat-mcnamara-1		St. Viator HS	SO
35	215	Malik Miller	Troy, NY	C	81	malik-miller-1	5.1 Pts, 3.9 Reb, 0.2 Ast	Catholic Central HS	SO
23	175	Ghassan Nehme	Colorado Springs, CO	G	75	ghasson-nehme-1	6.0 Pts, 3.2 Reb, 1.2 Ast		SO
14	210	Tyrone O'Garro	Newark, NJ	F	78	tyrone-ogarro-1	2.6 Pts, 2.9 Reb, 0.5 Ast	St. Peter's Prep	SR
5	200	Earl Potts	Severn, MD	F	78	earl-potts-1	10.8 Pts, 4.4 Reb, 0.8 Ast	Archbishop Spalding HS	JR
20	230	Dondre Rhoden	Ridgefield Park, NJ	F	78	dondre-rhoden-1	0.4 Pts, 0.6 Reb, 0.0 Ast		SO
13	175	Mike Schroback	Hasbrouck Heights, NJ	G	70	mike-schroback-1	1.0 Pts, 0.5 Reb, 0.4 Ast	Hasbrouck Heights HS	JR
