number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
5	195	Barry Brown	Saint Petersburg, FL	G	75	barry-brown-1	12.3 Pts, 3.0 Reb, 2.7 Ast	Gibbs HS	SO
35	220	Austin Budke	Beloit, KS	F	78	austin-budke-1	1.2 Pts, 0.3 Reb, 0.4 Ast		SR
2	180	Cartier Diarra	Florence, SC	G	76	cartier-diarra-1			FR
1	205	Carlbe Ervin II	Oklahoma City, OK	G	75	carlbe-ervinii-1	2.7 Pts, 2.5 Reb, 1.9 Ast		SR
25	205	Wesley Iwundu	Houston, TX	F	79	wesley-iwundu-1	12.5 Pts, 5.3 Reb, 3.3 Ast	Westfield HS	SR
4	250	D.J. Johnson	St. Louis, MO	F	81	dj-johnson-2	11.5 Pts, 6.4 Reb, 0.7 Ast	Parkway North HS	SR
45	180	Kade Kinnamon	Saint John, KS	G	72	kade-kinnamon-1	0.0 Pts, 0.0 Reb, 0.3 Ast		SO
21	230	James Love	Fort Lauderdale, FL	F	82	james-love-1			FR
10	225	Isaiah Maurice	Durham, NC	F	81	isaiah-maurice-1	2.4 Pts, 2.3 Reb, 0.2 Ast		FR
24	190	Pierson McAtee	Manhattan, KS	F	78	pierson-mcatee-1	0.5 Pts, 0.9 Reb, 0.0 Ast	Manhattan HS	FR
11	200	Brian Patrick	Fort Lauderdale, FL	G	77	brian-patrick-1	1.9 Pts, 0.5 Reb, 0.1 Ast		FR
12	190	Mason Schoen	Overland Park, KS	G	75	mason-schoen-1	0.9 Pts, 0.1 Reb, 0.2 Ast	Blue Valley Northwest HS	JR
20	210	Xavier Sneed	Florissant, MO	F	77	xavier-sneed-1	9.2 Pts, 3.6 Reb, 0.7 Ast		FR
3	170	Kamau Stokes	Baltimore, MD	G	70	kamau-stokes-1	11.0 Pts, 2.5 Reb, 4.5 Ast		SO
32	225	Dean Wade	Saint John, KS	F	80	dean-wade-1	10.5 Pts, 5.7 Reb, 1.9 Ast	St. John HS	SO
15	255	Dante Williams	Arlington, TX	F	84	dante-williams-3	1.5 Pts, 1.0 Reb, 0.2 Ast	Bowie HS	FR
13	210	Zach Winter	Andover, KS	G	75	zach-winter-1	0.7 Pts, 0.4 Reb, 0.1 Ast	Andover Central	SR
