number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
24	182	Josh Burnett	Honolulu, HI	G	77	josh-burnett-1	1.1 Pts, 1.8 Reb, 0.7 Ast		SO
35	215	Zach Cameron	Sacramento, CA	F	82	zach-cameron-1	0.5 Pts, 2.1 Reb, 0.6 Ast		FR
11	188	Kyle Clarke	Daytona Beach, FL	G	77	kyle-clarke-1	4.8 Pts, 1.9 Reb, 2.4 Ast		SO
4	150	Tyler Hooker	Simpsonville, SC	G	72	tyler-hooker-1	4.9 Pts, 2.1 Reb, 2.3 Ast		FR
33	200	Kosta Jankovic	Belgrade, Serbia	F	79	kosta-jankovic-1	0.0 Pts, 1.0 Reb, 0.0 Ast		SO
2	205	Jordan Jones	Alpharetta, GA	F	80	jordan-jones-1	5.9 Pts, 4.5 Reb, 1.1 Ast	St. Francis HS	JR
22	220	Shazier Lawson	Perry, GA	F	78	shazier-lawson-1		Veterans HS	SO
21	180	Nick Masterson	Woodstock, GA	G	77	nick-masterson-1	12.4 Pts, 2.5 Reb, 3.1 Ast	River Ridge HS	JR
5	220	Isaac Mbuyamba	Portland, OR	F	78	isaac-mbuyamba-1	2.0 Pts, 1.0 Reb, 0.0 Ast		FR
15	220	Cameron Neysmith	Norcross, GA	G	76	cameron-neysmith-1	1.0 Pts, 1.0 Reb, 0.0 Ast	Massunutten Military Academy	SR
10	210	Johannes Nielsen	Copenhagen, Denmark	F	82	johannes-nielsen-1	6.5 Pts, 3.2 Reb, 0.7 Ast		FR
	180	Kendrick Ray	Middletown, NY	G	73	kendrick-ray-1	22.6 Pts, 3.4 Reb, 2.8 Ast	Middletown	SR
12	188	James Scott	Union, NJ	G	77	james-scott-2	9.8 Pts, 2.4 Reb, 1.5 Ast		FR
14	215	Aubrey Williams	Bowie, MD	F	79	aubrey-williams-2	11.2 Pts, 10.6 Reb, 1.9 Ast	St. Vincent Pallotti	SR
13	210	Anthony Wilson	Miami, FL	F	77	anthony-wilson-2	2.7 Pts, 3.1 Reb, 1.0 Ast		FR
