number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
4	220	Sam Alabakis	Perth, WA	C	83	sam-alabakis-1	2.9 Pts, 2.4 Reb, 0.1 Ast		FR
	215	Prince Cooper	Freeport, Bahamas	G	76	prince-cooper-1	1.3 Pts, 2.0 Reb, 0.7 Ast	Piney Woods (MS)	SR
11	190	Nick Coppola	Richmond, VA	G	71	nick-coppola-1	9.1 Pts, 2.6 Reb, 4.8 Ast	Benedictine Prep	SR
2	195	Kiir Deng	Saskatchewan, Canada	F	81	majok-deng-1			JR
23	165	Jordon Harris	San Antonio, TX	G	71	jordon-harris-1	9.1 Pts, 2.1 Reb, 1.8 Ast		JR
5	190	Marvin Jean-Pierre	Pompano Beach, FL	G	75	marvin-jean-pierre-1	9.8 Pts, 3.3 Reb, 1.3 Ast		JR
25	185	Wade Martin	Point Pleasant, WV	G	77	wade-martin-1	1.9 Pts, 1.1 Reb, 0.4 Ast	Fishburne Prep	SO
30	210	Sam McDaniel	Saskatchewan, Canada	G	78	sam-mcdaniel-1	12.8 Pts, 7.1 Reb, 1.4 Ast		JR
	195	Travis Munnings	Freeport, Bahamas	F	78	travis-munnings-1	12.9 Pts, 8.4 Reb, 1.9 Ast	Sunrise Christian Academy	SO
22	175	Lance Richard	Monroe, LA	G	70	lance-richard-1	1.8 Pts, 0.6 Reb, 0.0 Ast	Sterlington HS	JR
	205	Ramses Sandifer	Arcola, MS	F	79	ramses-sandifer-1	1.2 Pts, 1.2 Reb, 0.3 Ast		FR
24	210	Roderick Taylor	Harker Heights, TX	F	80	roderick-taylor-2	1.1 Pts, 1.2 Reb, 0.1 Ast	Harker Heights HS	SO
3	185	Marcus Washington	Clinton, MS	G	74	marcus-washington-1	8.0 Pts, 3.2 Reb, 1.3 Ast	Clinton HS (MS)	SR
