number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
33	280	Mac Brydon	Charlotte, NC	C	82	mac-brydon-1			FR
24	165	Ross Cummings	Dickson, TN	G	75	ross-cummings-1	1.8 Pts, 0.7 Reb, 0.6 Ast		FR
55	218	Andrew Fishler	Cumming, GA	C	85	andrew-fishler-1	3.3 Pts, 2.1 Reb, 0.2 Ast		SR
3	190	Stephen Gavin	Savannah, GA	G	75	stephen-gavin-1	0.0 Pts, 0.0 Reb, 0.0 Ast		SO
10	148	Ria'n Holland	Fayetteville, NC	G	72	rian-holland-1	17.5 Pts, 3.2 Reb, 2.4 Ast	South View	JR
15	225	Stephon Jelks	Marietta, GA	F	78	stephon-jelks-1	7.2 Pts, 6.2 Reb, 1.5 Ast	North Cobb Christian School	JR
13	190	Ryan Johnson	Greensboro, NC	G	78	ryan-johnson-1	5.2 Pts, 3.5 Reb, 0.5 Ast		SO
1	195	Cory Kilby	Ada, OK	F	79	cory-kilby-1	3.1 Pts, 2.8 Reb, 0.6 Ast		SO
25	156	Rashad Lewis	Valdosta, GA	G	68	rashad-lewis-1	2.7 Pts, 1.3 Reb, 2.2 Ast		JR
44	250	J.J. N'Ganga	Paris, France	C	82	jj-nganga-1	1.6 Pts, 1.9 Reb, 0.1 Ast	Sunrise Christian Academy	SR
	255	Desmond Ringer	Mcdonough, GA	F	81	desmond-ringer-1	6.4 Pts, 5.6 Reb, 0.4 Ast	Eagle's Landing/South Carolina	JR
23	180	Demetre Rivers	Ladson, SC	G	80	demetre-rivers-1	11.9 Pts, 2.9 Reb, 1.4 Ast	Stratford HS	JR
20	170	Darius Roy	Lawton, OK	G	74	darius-roy-1	1.7 Pts, 1.4 Reb, 0.4 Ast		FR
14	205	Ethan Stair	Hazel Green, AL	G	77	ethan-stair-1			SO
2	205	Jaylen Stowe	Harrisburg, NC	G	74	jaylen-stowe-1	0.7 Pts, 0.5 Reb, 0.0 Ast		SO
5	175	Jordan Strawberry	Anaheim, CA	G	73	jordan-strawberry-1	11.2 Pts, 3.1 Reb, 4.5 Ast	South Kent School	JR
