number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
2	195	Joel Berry	Apopka, FL	G	72	joel-berry-1	15.1 Pts, 3.8 Reb, 4.4 Ast	Lake Highland Prep	JR
5	240	Tony Bradley	Bartow, FL	F	82	tony-bradley-1	8.2 Pts, 5.7 Reb, 0.8 Ast		FR
	170	Nate Britt	Upper Marlboro, MD	G	73	nate-britt-1	5.8 Pts, 2.2 Reb, 2.8 Ast	Oak Hill Academy (VA)	SR
13	200	Kanler Coker	Gainesville, GA	G	76	kanler-coker-1	0.6 Pts, 0.2 Reb, 0.0 Ast	Flowery Branch HS	SR
4	230	Isaiah Hicks	Oxford, NC	F	80	isaiah-hicks-1	12.1 Pts, 5.3 Reb, 1.1 Ast	J.F. Webb	SR
44	193	Justin Jackson	Tomball, TX	F	80	justin-jackson-4	17.4 Pts, 4.8 Reb, 2.9 Ast	Home School Christian Youth Association	JR
32	227	Luke Maye	Huntersville, NC	F	79	luke-maye-1	4.8 Pts, 3.5 Reb, 0.9 Ast	Hough HS	SO
3	290	Kennedy Meeks	Charlotte, NC	F	81	kennedy-meeks-1	12.8 Pts, 9.9 Reb, 1.3 Ast	West Charlotte HS	SR
1	211	Theo Pinson	Greensboro, NC	F	78	theo-pinson-1		Wesleyan Christian Academy	JR
14	162	Brandon Robinson	Douglasville, GA	G	77	brandon-robinson-2	3.2 Pts, 2.1 Reb, 1.3 Ast		FR
25	210	Aaron Rohlman	Gastonia, NC	F	78	aaron-rohlman-1	0.0 Pts, 0.9 Reb, 0.1 Ast		JR
11	200	Shea Rush	Fairway, KS	F	78	shea-rush-1	1.6 Pts, 0.4 Reb, 0.0 Ast		FR
30	170	Stilman White	Wilmington, NC	G	72	stilman-white-1	2.0 Pts, 0.4 Reb, 0.3 Ast	Hoggard HS	SR
24	166	Kenny Williams	Midlothian, VA	G	75	kenny-williams-3	6.8 Pts, 3.8 Reb, 2.1 Ast	Bird HS	SO
21	180	Seventh Woods	Columbia, SC	G	74	seventh-woods-1	2.6 Pts, 1.9 Reb, 1.3 Ast		FR
