number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
	190	Nick Ayers		G	75	nick-ayers-1	0.0 Pts, 0.0 Reb, 0.0 Ast		
10	185	Tre Cobbs	Lima, OH	G	70	tre-cobbs-1	1.0 Pts, 0.0 Reb, 0.1 Ast		FR
11	165	Mason Faulkner	Glasgow, KY	G	73	mason-faulkner-1	5.9 Pts, 2.6 Reb, 2.1 Ast		FR
1	215	Jordan Garnett	Indianapolis, IN	F	78	jordan-garnett-1	3.8 Pts, 3.6 Reb, 1.7 Ast	Warren Central HS	JR
4	206	Jeff Garrett	Gadsden, AL	F	79	jeff-garrett-1	4.3 Pts, 5.9 Reb, 0.7 Ast		SO
13	210	Brennan Gillis	Indianapolis, IN	F	79	brennan-gillis-1	3.8 Pts, 2.2 Reb, 0.6 Ast	Ben Davis	SO
30	180	LaVone Holland	Louisville, KY	G	74	lavone-holland-1	14.5 Pts, 2.6 Reb, 3.8 Ast		JR
2	190	Brandon Maxwell	Orlando, FL	G	74	brandon-maxwell-1	1.6 Pts, 1.0 Reb, 0.6 Ast		SO
34	265	Drew McDonald	Cold Spring, KY	F	80	drew-mcdonald-1	16.7 Pts, 8.2 Reb, 1.7 Ast		SO
25	200	Cole Murray	Delphi, IN	G	79	cole-murray-1	10.2 Pts, 2.6 Reb, 1.1 Ast	Delphi HS	SR
22	230	Matt Rosenwinkel	Rochelle, IL	G	74	matt-rosenwinkel-1	0.5 Pts, 0.5 Reb, 0.0 Ast	Rochelle Township HS	SR
3	180	Blake Spellman	Lee's Summit, MO	G	71	blake-spellman-1	2.5 Pts, 1.4 Reb, 0.8 Ast		FR
5	170	Jalen Tate	Pickerington, OH	F	77	jalen-tate-1	4.6 Pts, 2.0 Reb, 1.6 Ast		FR
32	205	Dantez Walton	Lima, OH	G	77	dantez-walton-1	3.1 Pts, 1.3 Reb, 0.3 Ast		FR
23	230	Carson Williams	Owenton, KY	F	77	carson-williams-1	10.9 Pts, 5.9 Reb, 1.2 Ast		FR
