number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
23	200	Jonathan Allen	Nashville, TN	G	76	jonathan-allen-1	1.5 Pts, 1.2 Reb, 0.3 Ast	Ravenwood HS	SR
10	165	Kenneth Arrick	Scottsdale, AZ	G	71	kenneth-arrick-1			FR
2	195	Eric Cooper Jr	Ontario, CA	G	75	eric-cooper-1		St. Anthony	JR
20	215	Kameron Edwards	Rancho Cucamonga, CA	F	78	kameron-edwards-1		Etiwanda HS	SO
12	225	Nate Gehring	Waukee, IA	C	82	nate-gehring-1	3.6 Pts, 3.6 Reb, 0.2 Ast	Waukee	SO
21	195	Knox Hellums	Tomball, TX	G	77	knox-hellums-1	5.7 Pts, 1.3 Reb, 0.4 Ast		FR
34	200	Kevin Hempy	Santa Barbara, CA	F	78	kevin-hempy-1	0.3 Pts, 0.4 Reb, 0.0 Ast		SR
44	240	Ryan Keenan	Woodbury, MN	C	82	ryan-keenan-2	1.0 Pts, 1.1 Reb, 0.2 Ast	East Ridge	SO
24	225	Craig LeCesne	Oxie, Sweden	F	81	craig-lecesne-1	4.2 Pts, 3.4 Reb, 1.1 Ast		FR
1	155	Elijah Lee	Houston, TX	G	70	elijah-lee-1	3.6 Pts, 1.9 Reb, 2.4 Ast		FR
3	175	Jeremy Major	Pasadena, CA	G	70	jeremy-major-1	11.6 Pts, 3.1 Reb, 3.9 Ast	Maranatha HS	SR
15	190	Caleb Martin	Los Angeles, CA	G	74	caleb-martin-2	0.0 Pts, 1.0 Reb, 0.0 Ast		FR
30	200	Lamond Murray	Los Angeles, CA	G	77	lamond-murray-2	19.2 Pts, 5.5 Reb, 0.9 Ast	Bishop Montgomery HS	SR
14	235	Chris Reyes	La Verne, CA	F	79	chris-reyes-1	14.9 Pts, 7.8 Reb, 2.3 Ast	Damien	SR
31	250	Nolan Taylor	Keller, TX	F	79	nolan-taylor-1	6.0 Pts, 3.3 Reb, 0.7 Ast		FR
	195	Amadi Udenyi	Oakland, CA	G	72	amadi-udenyi-1	5.7 Pts, 2.4 Reb, 4.6 Ast	De La Salle	SR
32	190	Kaijae Yee-Stephens	Santa Cruz, CA	G	73	kaijae-yee-stephens-1	1.0 Pts, 0.4 Reb, 0.0 Ast		FR
