number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
34	212	Kwesi Abakah	Suwanee, GA	F	80	kwesi-abakah-1	0.4 Pts, 1.1 Reb, 0.3 Ast	North Gwinnett HS	SR
11	215	De'Monte Buckingham	Richmond, VA	G	76	demonte-buckingham-1	8.5 Pts, 5.1 Reb, 1.6 Ast		FR
10	240	T.J. Cline	Plano, TX	F	80	tj-cline-1	17.9 Pts, 7.8 Reb, 4.9 Ast	Plano West	SR
12	220	Chase Fletcher	Dallas, TX	F	79	chase-fletcher-2			SR
2	165	Khwan Fore	Huntsville, AL	G	74	khwan-fore-1	10.7 Pts, 3.9 Reb, 1.9 Ast	Lee HS	SO
44	205	Paul Friendshuh	New Prague, MN	F	81	paul-friendshuh-1	0.0 Pts, 0.3 Reb, 0.3 Ast	New Prague HS	SO
33	240	Grant Golden	Winchester, VA	F	81	grant-golden-1	2.0 Pts, 2.0 Reb, 0.9 Ast		FR
32	185	Julius Johnson	Cocoa, FL	G	74	julius-johnson-1	6.2 Pts, 3.5 Reb, 1.4 Ast		SO
3	155	ShawnDre' Jones	Houston, TX	G	70	shawndre-jones-1	16.9 Pts, 2.0 Reb, 4.0 Ast	Bush HS	SR
15	190	Niko King	Landover, MD	G	75	niko-king-1			FR
1	195	Joe Kirby	Pembroke Pines, FL	G	73	joe-kirby-1	1.3 Pts, 1.7 Reb, 0.2 Ast	Sagemont HS	JR
4	185	Keith Oddo	Roanoke, VA	G	73	keith-oddo-1		North Cross HS	SO
30	205	Jesse Pistokache	Mission, TX	G	75	jesse-pistokache-1			SO
5	220	Nick Sherod	Richmond, VA	G	76	nick-sherod-1	5.0 Pts, 2.8 Reb, 1.0 Ast		FR
13	225	Solly Stansbury	Toms River, NJ	F	79	solly-stansbury-1			SO
24	230	Marshall Wood	Rustburg, VA	F	80	marshall-wood-1	6.3 Pts, 3.3 Reb, 0.3 Ast	Rustburg, VA	SR
