number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
2	210	Taylor Adway	Hazel Crest, IL	F	81	taylor-adway-1	2.8 Pts, 1.9 Reb, 0.2 Ast	Hillcrest	SO
3	175	Lucas Antunez	Madrid, Spain	G	75	lucas-antunez-1	1.2 Pts, 0.5 Reb, 0.9 Ast		JR
10	165	Daniel Dzierzawski	Ontario, Canada	G	72	daniel-dzierzawski-1	7.1 Pts, 2.0 Reb, 1.6 Ast		JR
	205	Tre'Shaun Fletcher	Wilmar, AR	G	79	treshaun-fletcher-1		Lincoln	SR
33	240	Zach Garber	Carey, OH	C	82	zach-garber-1	4.0 Pts, 4.7 Reb, 0.7 Ast	Vanlue HS	SR
0	215	James Gordon IV	Shelbyville, KY	F	77	james-gordoniv-1			FR
4	205	Fred John Jr.	Southfield, MI	F	77	fred-johnjr-1	0.0 Pts, 0.0 Reb, 0.0 Ast		SO
30	210	Luke Knapke	Maria Stein, OH	F	83	luke-knapke-1	6.7 Pts, 3.9 Reb, 1.0 Ast		FR
25	190	Jordan Lauf	Napoleon, OH	G	77	jordan-lauf-1	7.9 Pts, 6.3 Reb, 1.8 Ast	Napoleon HS	SR
35	215	Nate Navigato	Geneva, IL	F	80	nate-navigato-1	7.9 Pts, 2.3 Reb, 1.1 Ast	Geneva (IL)	SO
5	170	Justin Roberts	Lawrence, KS	G	70	justin-roberts-1	1.0 Pts, 0.5 Reb, 1.2 Ast		FR
22	180	Isiah Rogers		G	61	isiah-rogers-1			
13	195	Jaelan Sanford	Evansville, IN	G	76	jaelan-sanford-1	14.2 Pts, 1.9 Reb, 2.7 Ast		SO
	180	Matt Schaffer		G	73	matt-schaffer-1	1.5 Pts, 0.8 Reb, 0.0 Ast		
23	240	Steve Taylor	Chicago, IL	F	79	steve-taylor-2	15.1 Pts, 11.8 Reb, 3.9 Ast	Simeon	SR
1	180	Jonathan Williams	Southfield, MI	G	75	jonathan-williams-2	20.6 Pts, 3.4 Reb, 2.6 Ast	Southfield-Lathrup HS	SR
