number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
25	195	Dusty Baker	Coto De Caza, CA	G	76	dusty-baker-1	9.6 Pts, 2.6 Reb, 1.8 Ast		JR
44	240	Zach Braxton	Highlands Ranch, CO	F	81	zach-braxton-1	8.2 Pts, 6.2 Reb, 0.7 Ast	Highlands Ranch HS	SO
11	170	McKay Butler	Farmington, UT	G	74	mckay-butler-1			FR
24	185	McKay Cannon	Shelley, ID	G	73	mckay-cannon-1	3.1 Pts, 1.9 Reb, 1.5 Ast	Shelly HS	SO
13	215	Brekkott Chapman	Roy, UT	F	80	brekkott-chapman-1		Roy HS	JR
3	220	Jordan Dallas	Long Beach, CA	C	82	jordan-dallas-1	3.3 Pts, 2.3 Reb, 0.1 Ast	Long Beach Poly HS	FR
12	200	George Darling		F	81	george-darling-1			FR
23	190	Richaud Gittens	Tempe, AZ	G	76	richaud-gittens-1	7.3 Pts, 4.3 Reb, 1.7 Ast	Marcos De Niza HS	SR
10	175	Jerrick Harding	Wichita, KS	G	73	jerrick-harding-1	6.5 Pts, 0.9 Reb, 0.5 Ast		FR
35	218	Kyndahl Hill	Humble, TX	F	79	kyndahl-hill-1	9.9 Pts, 7.2 Reb, 1.6 Ast	Humble HS	SR
5	180	Cody John	Ontario, Canada	G	75	cody-john-1	8.9 Pts, 3.2 Reb, 2.8 Ast	Wasatch Academy HS	SO
34	185	Brenden Morris	Syracuse, UT	F	79	brenden-morris-1	5.7 Pts, 1.7 Reb, 0.3 Ast	Ben Lomond HS	FR
22	175	Ryan Richardson	Mesa, AZ	G	76	ryan-richardson-1	5.8 Pts, 1.3 Reb, 2.3 Ast	Dobson HS	JR
30	185	Jeremy Senglin	Arlington, TX	G	74	jeremy-senglin-1	20.4 Pts, 4.3 Reb, 2.5 Ast	Bowie HS	SR
0	210	Kiko Stavrev	Sofia, Bulgaria	F	79	kiko-stavrev-1		Myerscough HS	FR
2	200	Juwan Williams	Richmond, TX	G	77	juwan-williams-1		Travis HS	SO
