number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
10	215	Eric Anderson	West Chester, PA	F	79	eric-anderson-2	1.5 Pts, 3.0 Reb, 0.2 Ast	Haverford	JR
23	194	Jordan Bruner	Columbia, SC	F	81	jordan-bruner-1	11.2 Pts, 6.9 Reb, 1.7 Ast		FR
3	170	Alex Copeland	Los Angeles, CA	G	75	alex-copeland-1	13.3 Pts, 1.6 Reb, 2.5 Ast		SO
1	190	Anthony Dallier	Wexford, PA	G	78	anthony-dallier-1	9.2 Pts, 3.5 Reb, 4.2 Ast	Northfield Mount Hermon HS	SR
44	230	Sam Downey	Lake Forest, IL	F	81	sam-downey-1	12.2 Pts, 5.8 Reb, 1.3 Ast	Lake Forest HS	SR
25	190	AJ Edwards	Seattle, WA	G	77	aj-edwards-1		South Kent	SR
11	185	Makai Mason	Greenfield, MA	G	73	makai-mason-1		Hotchkiss School	JR
2	175	Eric Monroe	San Diego, CA	G	74	eric-monroe-1	2.8 Pts, 1.4 Reb, 1.0 Ast		FR
24	200	Miye Oni	Porter Ranch, CA	G	78	miye-oni-1	12.6 Pts, 7.2 Reb, 2.8 Ast		FR
13	185	Trey Phills	Charlotte, NC	G	74	trey-phills-1	5.3 Pts, 2.7 Reb, 2.3 Ast	Charlotte Christian	SO
32	220	Blake Reynolds	Jackson, MO	F	79	blake-reynolds-1	10.7 Pts, 4.9 Reb, 2.2 Ast	Jackson	SO
30	180	Landon Russell	Fort Worth, TX	G	74	landon-russell-1	1.0 Pts, 0.5 Reb, 1.5 Ast	Nolan Catholic HS	JR
34	190	Thomas Ryan	New York, NY	F	76	thomas-ryan-1	3.0 Pts, 1.0 Reb, 0.0 Ast	Hotchkiss School	SO
22	225	Austin Williams	Jacksonville, FL	F	80	austin-williams-3	1.8 Pts, 1.0 Reb, 0.7 Ast		FR
20	210	Noah Yates	Pt Pleasant, NJ	F	77	noah-yates-1	4.3 Pts, 1.8 Reb, 0.3 Ast		JR
